id,城市,住宿费用,人均消费
1,重庆,370,588
2,青岛,380,1780
3,西藏,350,300
4,上海,500,1272
5,北京,500,1767
6,昆明,380,1061
7,厦门,400,1430
8,长沙,350,1233
9,成都,370,1237
10,青海,350,1087
11,内蒙,350,888
12,武汉,350,1071
